[Numero de Amostras = 37]
{X=1758, Y=-3,05213022232056}
{X=1759, Y=-3,47942852973938}
{X=1760, Y=-3,9067268371582}
{X=1761, Y=-4,21193981170654}
{X=1762, Y=-4,57819557189941}
{X=1763, Y=-5,24966430664063}
{X=1764, Y=-5,67696237564087}
{X=1765, Y=-5,49383449554443}
{X=1766, Y=-4,82236576080322}
{X=1767, Y=-3,84568428993225}
{X=1768, Y=-3,35734343528748}
{X=1769, Y=-3,72359895706177}
{X=1770, Y=-4,76132345199585}
{X=1771, Y=-5,7380051612854}
{X=1772, Y=-6,16530323028564}
{X=1773, Y=-5,98217535018921}
{X=1774, Y=-5,49383449554443}
{X=1775, Y=-5,00549364089966}
{X=1776, Y=-4,45611047744751}
{X=1777, Y=-3,41838598251343}
{X=1778, Y=-1,70919299125671}
{X=1779, Y=0,427298247814178}
{X=1780, Y=2,56378936767578}
{X=1781, Y=4,15089702606201}
{X=1782, Y=4,94445133209229}
{X=1783, Y=5,12757873535156}
{X=1784, Y=5,00549364089966}
{X=1785, Y=4,88340854644775}
{X=1786, Y=5,12757873535156}
{X=1787, Y=5,67696237564087}
{X=1788, Y=6,53155899047852}
{X=1789, Y=6,89781475067139}
{X=1790, Y=6,59260177612305}
{X=1791, Y=5,79904747009277}
{X=1792, Y=4,21193981170654}
{X=1793, Y=2,50274682044983}
{X=1794, Y=1,0377242565155}
{X=1795, Y=0,122085213661194}
