[Numero de Amostras = 21]
{X=1483, Y=14,3450126647949}
{X=1484, Y=14,5891828536987}
{X=1485, Y=15,7489929199219}
{X=1486, Y=17,3971424102783}
{X=1487, Y=18,9842510223389}
{X=1488, Y=20,2661457061768}
{X=1489, Y=20,8765716552734}
{X=1490, Y=20,8765716552734}
{X=1491, Y=19,8998889923096}
{X=1492, Y=17,8854846954346}
{X=1493, Y=15,2606515884399}
{X=1494, Y=12,3306064605713}
{X=1495, Y=9,58368968963623}
{X=1496, Y=7,32511281967163}
{X=1497, Y=5,98217535018921}
{X=1498, Y=5,49383449554443}
{X=1499, Y=5,7380051612854}
{X=1500, Y=6,71468687057495}
{X=1501, Y=8,42387962341309}
{X=1502, Y=10,8655843734741}
{X=1503, Y=13,5514583587646}
{X=1504, Y=16,0542049407959}
